City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
77,Atuona,PF,2020-04-19 15:53:57,-9.8,-139.03,82.81,74,91,16.15,overcast clouds,0.0,0.0
78,Georgetown,MY,2020-04-19 15:54:01,5.41,100.34,84.2,88,20,5.82,few clouds,0.0,0.0
79,Tual,ID,2020-04-19 15:54:44,-5.67,132.75,84.38,70,98,3.65,overcast clouds,0.0,0.0
80,Marienburg,PL,2020-04-19 15:56:04,54.04,19.03,48.99,57,0,15.82,clear sky,0.0,0.0
81,Gat,IL,2020-04-19 15:54:53,31.61,34.76,77.0,39,7,14.16,clear sky,0.0,0.0
82,Busselton,AU,2020-04-19 15:53:49,-33.65,115.33,55.0,59,95,9.4,overcast clouds,0.0,0.0
83,Mar Del Plata,AR,2020-04-19 15:52:12,-38.0,-57.56,73.0,64,0,20.8,clear sky,0.0,0.0
84,Visnes,NO,2020-04-19 15:56:05,59.36,5.22,55.0,71,0,8.05,clear sky,0.0,0.0
85,Beringovskiy,RU,2020-04-19 15:54:35,63.05,179.32,16.43,96,100,14.25,light snow,0.0,0.83
86,Ust-Tsilma,RU,2020-04-19 15:49:42,65.44,52.15,35.26,97,100,3.69,overcast clouds,0.0,0.0
87,Thunder Bay,CA,2020-04-19 15:51:15,48.4,-89.32,33.01,79,75,3.36,light snow,0.0,0.0
88,Lorengau,PG,2020-04-19 15:49:31,-2.02,147.27,82.69,77,50,3.4,scattered clouds,0.0,0.0
89,Ixtapa,MX,2020-04-19 15:56:06,20.7,-105.2,77.0,73,75,2.44,broken clouds,0.0,0.0
90,Pangnirtung,CA,2020-04-19 15:54:46,66.15,-65.71,7.68,87,92,4.27,overcast clouds,0.0,0.0
91,Tiznit,MA,2020-04-19 15:56:07,29.58,-9.5,61.38,55,81,18.45,light rain,0.11,0.0
92,Danilovka,RU,2020-04-19 15:56:07,50.36,44.12,50.59,46,100,5.21,overcast clouds,0.0,0.0
93,Hobart,AU,2020-04-19 15:52:46,-42.88,147.33,51.01,81,75,4.7,broken clouds,0.0,0.0
94,Turukhansk,RU,2020-04-19 15:54:57,65.82,87.98,39.47,79,100,16.06,overcast clouds,0.0,0.0
95,Oudtshoorn,ZA,2020-04-19 15:56:08,-33.59,22.2,71.6,56,99,13.87,overcast clouds,0.0,0.0
96,Muyezerskiy,RU,2020-04-19 15:56:08,63.93,31.65,36.32,78,100,4.65,light snow,0.0,0.14
97,Polonnaruwa,LK,2020-04-19 15:56:08,7.93,81.0,80.06,76,72,4.05,light rain,0.36,0.0
98,Tasiilaq,GL,2020-04-19 15:55:00,65.61,-37.64,32.0,97,100,23.04,light intensity shower rain,0.0,0.0
99,Provideniya,RU,2020-04-19 15:54:53,64.38,-173.3,17.51,95,100,15.12,light snow,0.0,0.64
100,Vila,PT,2020-04-19 15:56:09,42.03,-8.16,62.01,77,20,13.87,few clouds,0.0,0.0
101,Bluff,NZ,2020-04-19 15:51:50,-46.6,168.33,43.0,84,96,5.01,light rain,0.98,0.0
102,Piney Green,US,2020-04-19 15:56:09,34.72,-77.32,73.0,52,1,9.17,clear sky,0.0,0.0
103,East Wenatchee Bench,US,2020-04-19 15:56:09,47.43,-120.28,50.0,61,1,5.82,clear sky,0.0,0.0
104,Talnakh,RU,2020-04-19 15:46:55,69.49,88.4,39.2,69,100,31.32,overcast clouds,0.0,0.0
105,Hambantota,LK,2020-04-19 15:49:12,6.12,81.12,83.66,79,99,12.37,light rain,1.6,0.0
106,Cairns,AU,2020-04-19 15:54:41,-16.92,145.77,77.0,94,90,1.12,overcast clouds,0.0,0.0
107,Avarua,CK,2020-04-19 15:53:46,-21.21,-159.78,77.0,83,21,4.7,few clouds,0.0,0.0
108,Cidreira,BR,2020-04-19 15:54:33,-30.18,-50.21,72.68,63,0,13.27,clear sky,0.0,0.0
109,Mount Gambier,AU,2020-04-19 15:54:25,-37.83,140.77,55.4,87,90,21.92,overcast clouds,0.0,0.0
110,Esperance,AU,2020-04-19 15:48:58,-33.87,121.9,55.4,82,75,4.7,broken clouds,0.0,0.0
111,Bambous Virieux,MU,2020-04-19 15:46:58,-20.34,57.76,78.01,73,40,11.41,scattered clouds,0.0,0.0
112,Thompson,CA,2020-04-19 15:54:08,55.74,-97.86,15.8,72,90,5.82,light snow,0.0,0.0
113,Morgan City,US,2020-04-19 15:49:07,29.7,-91.21,80.6,83,20,11.41,few clouds,0.0,0.0
114,Marsa Matruh,EG,2020-04-19 15:56:12,31.35,27.25,64.4,63,0,4.7,clear sky,0.0,0.0
115,Nizhniy Odes,RU,2020-04-19 15:56:12,63.64,54.86,35.02,94,100,3.74,light rain,0.17,0.0
116,San Lorenzo,PY,2020-04-19 15:55:14,-25.33,-57.53,86.0,48,0,9.17,clear sky,0.0,0.0
117,Bonavista,CA,2020-04-19 15:48:46,48.65,-53.11,31.96,95,100,21.83,overcast clouds,0.0,0.0
118,Coihaique,CL,2020-04-19 15:56:12,-45.58,-72.07,48.2,66,90,10.29,light intensity shower rain,0.0,0.0
119,Mount Isa,AU,2020-04-19 15:56:13,-20.73,139.5,64.4,48,8,6.78,clear sky,0.0,0.0
120,Akyab,MM,2020-04-19 15:56:13,20.15,92.9,80.47,84,0,8.19,clear sky,0.0,0.0
121,Suhbaatar,MN,2020-04-19 15:56:13,50.23,106.21,29.28,63,57,8.14,broken clouds,0.0,0.0
122,Cabinda,AO,2020-04-19 15:56:13,-5.55,12.2,87.8,70,20,6.93,few clouds,0.0,0.0
123,Bredasdorp,ZA,2020-04-19 15:54:00,-34.53,20.04,73.4,49,7,16.11,clear sky,0.0,0.0
124,Cabo San Lucas,MX,2020-04-19 15:53:44,22.89,-109.91,73.0,88,5,7.45,clear sky,0.0,0.0
125,Luhyny,UA,2020-04-19 15:56:14,51.08,28.4,48.34,48,100,11.61,light rain,0.3,0.0
126,Inhambane,MZ,2020-04-19 15:49:52,-23.86,35.38,78.8,61,20,9.17,few clouds,0.0,0.0
