City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Krasnoselkup,RU,2020-04-18 21:45:05,65.7,82.47,37.29,85,100,21.0
212,Port Lincoln,AU,2020-04-18 21:40:12,-34.73,135.87,58.19,75,33,8.25
213,Marovoay,MG,2020-04-18 21:45:06,-16.1,46.63,77.0,83,40,10.29
214,Esmeraldas,BR,2020-04-18 21:45:06,-19.76,-44.31,71.6,73,75,11.41
215,Kahului,US,2020-04-18 21:45:07,20.89,-156.47,84.2,48,20,19.46
216,Wagga Wagga,AU,2020-04-18 21:45:07,-35.12,147.37,39.99,100,0,4.7
217,Bathsheba,BB,2020-04-18 21:45:07,13.22,-59.52,82.4,65,20,17.22
218,Lebrija,ES,2020-04-18 21:45:08,36.92,-6.08,64.4,82,90,1.12
219,Kannur,IN,2020-04-18 21:41:10,11.87,75.36,80.65,85,2,4.5
220,Balkanabat,TM,2020-04-18 21:45:08,39.51,54.37,69.87,38,0,6.15
221,Martapura,ID,2020-04-18 21:45:09,-3.42,114.85,76.77,91,100,3.0
222,Arraial Do Cabo,BR,2020-04-18 21:41:22,-22.97,-42.03,75.2,78,75,4.7
223,Mount Gambier,AU,2020-04-18 21:45:09,-37.83,140.77,46.4,100,90,6.93
224,Yilan,TW,2020-04-18 21:45:09,24.76,121.75,76.41,69,100,6.49
225,Tres Arroyos,AR,2020-04-18 21:45:10,-38.37,-60.28,71.69,38,0,13.87
226,Vestmannaeyjar,IS,2020-04-18 21:45:10,63.44,-20.27,45.5,93,100,17.11
227,Inirida,CO,2020-04-18 21:45:10,3.87,-67.92,77.76,92,100,2.15
228,Oranjemund,NA,2020-04-18 21:45:11,-28.55,16.43,58.51,82,10,3.67
229,Tokur,RU,2020-04-18 21:45:11,53.13,132.9,24.03,86,100,4.12
230,Tiznit,MA,2020-04-18 21:45:11,29.58,-9.5,58.08,64,82,9.26
231,Vila Velha,BR,2020-04-18 21:40:32,-20.33,-40.29,77.0,65,20,12.75
232,Bereda,ES,2020-04-18 21:45:11,43.27,-7.54,55.0,99,87,1.01
233,Santa Cruz,BO,2020-04-18 21:42:19,-17.8,-63.17,86.0,28,5,10.29
234,Culiacan,MX,2020-04-18 21:45:12,24.8,-107.39,82.4,54,5,9.17
235,Waddan,LY,2020-04-18 21:45:12,29.16,16.14,72.16,23,17,11.52
236,Kruisfontein,ZA,2020-04-18 21:45:13,-34.0,24.73,65.19,43,0,6.08
237,Maragogi,BR,2020-04-18 21:42:39,-9.01,-35.22,81.41,79,100,8.39
238,Dikson,RU,2020-04-18 21:45:14,73.51,80.55,35.24,89,100,19.1
239,Novobirilyussy,RU,2020-04-18 21:45:14,56.95,90.67,35.46,79,22,7.83
240,Cockburn Town,TC,2020-04-18 21:44:43,21.46,-71.14,82.4,65,40,10.29
241,Kavieng,PG,2020-04-18 21:45:15,-2.57,150.8,81.88,78,92,4.0
242,Batemans Bay,AU,2020-04-18 21:45:15,-35.72,150.18,57.0,100,95,1.72
243,Saint Albans,GB,2020-04-18 21:42:39,51.75,-0.33,48.99,87,90,8.05
244,Poum,NC,2020-04-18 21:45:16,-20.23,164.02,78.22,77,74,14.2
245,Arcata,US,2020-04-18 21:41:21,40.87,-124.08,55.99,76,90,9.17
246,Hobyo,SO,2020-04-18 21:45:16,5.35,48.53,84.65,72,90,10.94
247,Aklavik,CA,2020-04-18 21:45:16,68.22,-135.01,24.8,73,75,8.05
248,Lavrentiya,RU,2020-04-18 21:45:17,65.58,-171.0,18.59,95,100,9.57
249,Fortuna,US,2020-04-18 21:41:16,40.6,-124.16,59.0,76,90,6.73
250,Bhag,PK,2020-04-18 21:45:17,29.04,67.82,84.52,19,100,5.82
251,Aykhal,RU,2020-04-18 21:40:21,66.0,111.5,8.6,50,1,4.47
252,Souillac,MU,2020-04-18 21:45:18,-20.52,57.52,78.01,88,40,14.99
253,La Ronge,CA,2020-04-18 21:45:18,55.1,-105.28,32.0,85,75,13.87
254,Vilcun,CL,2020-04-18 21:45:18,-38.65,-72.23,64.4,77,40,6.93
255,Mecca,SA,2020-04-18 21:43:25,21.43,39.83,77.09,44,100,3.04
